19:15; операция : (2+2j) + (3+3j) результат :(5+5j)
19:15; операция : (5+5j) * (3+3j) результат :30j
19:16; операция : (5+5j) / (2+3j) результат :(1.923076923076923-0.3846153846153847j)
19:16; операция : (2+2j) * (3+3j) результат :12j
19:17; операция : 1/10 * 2/3 результат :1/15
19:17; операция : (2+1j) + (35-25j) результат :(37-24j)
19:18; операция : 3/5 * 10/3 результат :2
19:18; операция : 2/5 / 7/15 результат :6/7
19:24; операция : 3/2 + 4/99 результат :305/198
19:27; операция : (23+2j) / (12-45j) результат :(0.08575380359612723+0.48824343015214383j)
